GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio,gen_can_suspend,gen_ccs_capture_efficiency,gen_ccs_energy_load
Anhui-EP_Coal_300_RC-ep-1225,existing.1225,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1226,existing.1226,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1227,existing.1227,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1228,existing.1228,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_300_RC-ep-1229,existing.1229,EP_Coal_300_RC,Coal,Anhui,35.0,False,True,False,False,False,8.53,3.9687714481811938,0.0,0.37,0.05,300.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1168,existing.1168,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1169,existing.1169,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1170,existing.1170,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1171,existing.1171,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1172,existing.1172,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1173,existing.1173,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1174,existing.1174,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1175,existing.1175,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1194,existing.1194,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,630.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_OT-ep-1195,existing.1195,EP_Coal_600_OT,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,630.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1158,existing.1158,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1159,existing.1159,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1160,existing.1160,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1161,existing.1161,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1162,existing.1162,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1163,existing.1163,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1164,existing.1164,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1165,existing.1165,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1166,existing.1166,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1167,existing.1167,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,660.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1176,existing.1176,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,640.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1177,existing.1177,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,640.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1178,existing.1178,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,640.0,.,False,.,0.4,False,.,1.0,.,.
Anhui-EP_Coal_600_RC-ep-1179,existing.1179,EP_Coal_600_RC,Coal,Anhui,40.0,False,True,False,False,False,7.93,3.9687714481811938,0.0,0.34,0.05,640.0,.,False,.,0.4,False,.,1.0,.,.
