GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Fujian-EP_Gas_CCGT_SEA-ep-1275,2009,393.0
Fujian-EP_Gas_CCGT_SEA-ep-1276,2010,386.0
Fujian-EP_Gas_CCGT_SEA-ep-1277,2010,386.0
Fujian-EP_Gas_CCGT_SEA-ep-1278,2009,386.0
Fujian-EP_Gas_CCGT_SEA-ep-1279,2008,386.0
Fujian-EP_Gas_CCGT_SEA-ep-1280,2010,382.0
Fujian-EP_Gas_CCGT_SEA-ep-1281,2010,382.0
Fujian-EP_Gas_CCGT_SEA-ep-1282,2008,382.0
Fujian-EP_Gas_CCGT_SEA-ep-1283,2008,382.0
Fujian-Gas_CCGT_OT-12159,2038,0.0
Fujian-Gas_CCGT_OT-12159,2048,0.0
Fujian-Gas_CCGT_RC-12143,2038,0.0
Fujian-Gas_CCGT_RC-12143,2048,0.0
Fujian-Gas_CCGT_RC-12169,2038,0.0
Fujian-Gas_CCGT_RC-12169,2048,0.0
Fujian-Gas_CCGT_RC-12179,2038,0.0
Fujian-Gas_CCGT_RC-12179,2048,0.0
Fujian-Gas_CCGT_SEA-12151,2038,0.0
Fujian-Gas_CCGT_SEA-12151,2048,0.0
Fujian-Gas_CCGT_SEA-12187,2038,0.0
Fujian-Gas_CCGT_SEA-12187,2048,0.0
