GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Fujian-Central_PV-408,2048,Central_PV,Fujian,Solar,0,.,0
Fujian-Central_PV-409,2038,Central_PV,Fujian,Solar,46666.7,.,3.96344e+10
Fujian-Central_PV-409,2048,Central_PV,Fujian,Solar,0,.,0
Fujian-Central_PV-410,2038,Central_PV,Fujian,Solar,46666.7,.,3.96344e+10
Fujian-Central_PV-410,2048,Central_PV,Fujian,Solar,0,.,0
Fujian-Central_PV-411,2038,Central_PV,Fujian,Solar,46666.7,.,3.96344e+10
Fujian-Central_PV-411,2048,Central_PV,Fujian,Solar,0,.,0
Fujian-Central_PV-600,2038,Central_PV,Fujian,Solar,46666.7,.,3.96344e+10
Fujian-Central_PV-600,2048,Central_PV,Fujian,Solar,0,.,0
Fujian-Central_PV_EP-ep-50028,2038,Central_PV_EP,Fujian,Solar,.,.,.
Fujian-Central_PV_EP-ep-50057,2038,Central_PV_EP,Fujian,Solar,.,.,.
Fujian-Central_PV_EP-ep-50086,2038,Central_PV_EP,Fujian,Solar,.,.,.
Fujian-Central_PV_EP-ep-50116,2038,Central_PV_EP,Fujian,Solar,.,.,.
Fujian-Central_PV_EP-ep-50147,2038,Central_PV_EP,Fujian,Solar,.,.,.
Fujian-Central_PV_EP-ep-50175,2038,Central_PV_EP,Fujian,Solar,.,.,.
Fujian-Coal_1000_OT-12153,2038,Coal_1000_OT,Fujian,Coal,0,.,0
