generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
Anhui-Central_PV-403,2040-06-26_12:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-06-26_16:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-06-26_20:00,new.403,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-12-19_00:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-12-19_04:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-12-19_08:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-12-19_12:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-12-19_16:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2040-12-19_20:00,new.403,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-403,2050-06-12_00:00,new.403,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-06-12_04:00,new.403,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-06-12_08:00,new.403,Central_PV,Anhui,Solar,724.0,2048,788.3247219758341,570.7470987105039,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-06-12_12:00,new.403,Central_PV,Anhui,Solar,724.0,2048,5076.75182,3675.5683176800003,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-06-12_16:00,new.403,Central_PV,Anhui,Solar,724.0,2048,4210.88164,3048.6783073599995,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-06-12_20:00,new.403,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-12-12_00:00,new.403,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-12-12_04:00,new.403,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-12-12_08:00,new.403,Central_PV,Anhui,Solar,736.0,2048,2651.01417,1951.14642912,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-12-12_12:00,new.403,Central_PV,Anhui,Solar,736.0,2048,4025.1393,2962.5025247999997,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-12-12_16:00,new.403,Central_PV,Anhui,Solar,736.0,2048,806.254869,593.403583584,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-403,2050-12-12_20:00,new.403,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,8500.0,348481888.83728707,125230956.42397632,,,,False
Anhui-Central_PV-404,2040-06-26_00:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-06-26_04:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-06-26_08:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-06-26_12:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-06-26_16:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-06-26_20:00,new.404,Central_PV,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-12-19_00:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-12-19_04:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-12-19_08:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-12-19_12:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-12-19_16:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2040-12-19_20:00,new.404,Central_PV,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-06-12_00:00,new.404,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-06-12_04:00,new.404,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-06-12_08:00,new.404,Central_PV,Anhui,Solar,724.0,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-06-12_12:00,new.404,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-06-12_16:00,new.404,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-06-12_20:00,new.404,Central_PV,Anhui,Solar,724.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-12-12_00:00,new.404,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-12-12_04:00,new.404,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-12-12_08:00,new.404,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-12-12_12:00,new.404,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-12-12_16:00,new.404,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV-404,2050-12-12_20:00,new.404,Central_PV,Anhui,Solar,736.0,2048,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,,,,False
Anhui-Central_PV_EP-ep-50012,2040-06-26_00:00,existing.50012,Central_PV_EP,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-06-26_04:00,existing.50012,Central_PV_EP,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-06-26_08:00,existing.50012,Central_PV_EP,Anhui,Solar,724.0,2038,1.99009972,1.4408321972799998,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-06-26_12:00,existing.50012,Central_PV_EP,Anhui,Solar,724.0,2038,3.17229822,2.29674391128,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-06-26_16:00,existing.50012,Central_PV_EP,Anhui,Solar,724.0,2038,1.687027664,1.2214080287359999,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-06-26_20:00,existing.50012,Central_PV_EP,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-12-19_00:00,existing.50012,Central_PV_EP,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-12-19_04:00,existing.50012,Central_PV_EP,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-12-19_08:00,existing.50012,Central_PV_EP,Anhui,Solar,736.0,2038,4.567342528,3.361564100608,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-12-19_12:00,existing.50012,Central_PV_EP,Anhui,Solar,736.0,2038,6.907387312,5.083837061632,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-12-19_16:00,existing.50012,Central_PV_EP,Anhui,Solar,736.0,2038,1.362021444,1.002447782784,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50012,2040-12-19_20:00,existing.50012,Central_PV_EP,Anhui,Solar,736.0,2038,-0.0,-0.0,-0.0,0.0,14.6,1607820.6719719323,556050.5446122168,,,,False
Anhui-Central_PV_EP-ep-50026,2040-06-26_00:00,existing.50026,Central_PV_EP,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,31.4,3457915.6917752516,1195889.5274536717,,,,False
Anhui-Central_PV_EP-ep-50026,2040-06-26_04:00,existing.50026,Central_PV_EP,Anhui,Solar,724.0,2038,-0.0,-0.0,-0.0,0.0,31.4,3457915.6917752516,1195889.5274536717,,,,False
Anhui-Central_PV_EP-ep-50026,2040-06-26_08:00,existing.50026,Central_PV_EP,Anhui,Solar,724.0,2038,4.280077479999999,3.0987760955199994,0.0,0.0,31.4,3457915.6917752516,1195889.5274536717,,,,False
Anhui-Central_PV_EP-ep-50026,2040-06-26_12:00,existing.50026,Central_PV_EP,Anhui,Solar,724.0,2038,6.82261398,4.93957252152,0.0,0.0,31.4,3457915.6917752516,1195889.5274536717,,,,False
