BASE_BLD_RETRO_BLD_1,BASE_BLD_RETRO_BLD_2,BASE_BLD_RETRO_BLD_3,BASE_BLD_RETRO_BLD_4,BuildRetrofitGen
Jiangsu-Coal_1000_RC-11981,2038,Jiangsu-Coal_1000_RC-11981_CCS,2038,-0.0
Jiangsu-Coal_1000_RC-11981,2038,Jiangsu-Coal_1000_RC-11981_CCS,2048,0.0
Jiangsu-Coal_1000_RC-11981,2038,Jiangsu-Coal_1000_RC-11981_H2,2038,-0.0
Jiangsu-Coal_1000_RC-11981,2038,Jiangsu-Coal_1000_RC-11981_H2,2048,-0.0
Jiangsu-Coal_1000_RC-11981,2048,Jiangsu-Coal_1000_RC-11981_CCS,2048,0.0
Jiangsu-Coal_1000_RC-11981,2048,Jiangsu-Coal_1000_RC-11981_H2,2048,-0.0
Jiangsu-Coal_1000_RC-12007,2038,Jiangsu-Coal_1000_RC-12007_CCS,2038,-0.0
Jiangsu-Coal_1000_RC-12007,2038,Jiangsu-Coal_1000_RC-12007_CCS,2048,0.0
Jiangsu-Coal_1000_RC-12007,2038,Jiangsu-Coal_1000_RC-12007_H2,2038,-0.0
Jiangsu-Coal_1000_RC-12007,2038,Jiangsu-Coal_1000_RC-12007_H2,2048,-0.0
Jiangsu-Coal_1000_RC-12007,2048,Jiangsu-Coal_1000_RC-12007_CCS,2048,0.0
Jiangsu-Coal_1000_RC-12007,2048,Jiangsu-Coal_1000_RC-12007_H2,2048,-0.0
Jiangsu-Coal_1000_RC-12025,2038,Jiangsu-Coal_1000_RC-12025_CCS,2038,-0.0
Jiangsu-Coal_1000_RC-12025,2038,Jiangsu-Coal_1000_RC-12025_CCS,2048,0.0
Jiangsu-Coal_1000_RC-12025,2038,Jiangsu-Coal_1000_RC-12025_H2,2038,-0.0
Jiangsu-Coal_1000_RC-12025,2038,Jiangsu-Coal_1000_RC-12025_H2,2048,0.0
Jiangsu-Coal_1000_RC-12025,2048,Jiangsu-Coal_1000_RC-12025_CCS,2048,0.0
Jiangsu-Coal_1000_RC-12025,2048,Jiangsu-Coal_1000_RC-12025_H2,2048,-0.0
Jiangsu-Coal_1000_SEA-11991,2038,Jiangsu-Coal_1000_SEA-11991_CCS,2038,-0.0
Jiangsu-Coal_1000_SEA-11991,2038,Jiangsu-Coal_1000_SEA-11991_CCS,2048,0.0
Jiangsu-Coal_1000_SEA-11991,2038,Jiangsu-Coal_1000_SEA-11991_H2,2038,-0.0
Jiangsu-Coal_1000_SEA-11991,2038,Jiangsu-Coal_1000_SEA-11991_H2,2048,0.0
Jiangsu-Coal_1000_SEA-11991,2048,Jiangsu-Coal_1000_SEA-11991_CCS,2048,0.0
Jiangsu-Coal_1000_SEA-11991,2048,Jiangsu-Coal_1000_SEA-11991_H2,2048,-0.0
Jiangsu-Coal_300_OT-11941,2038,Jiangsu-Coal_300_OT-11941_CCS,2038,-0.0
Jiangsu-Coal_300_OT-11941,2038,Jiangsu-Coal_300_OT-11941_CCS,2048,0.0
Jiangsu-Coal_300_OT-11941,2038,Jiangsu-Coal_300_OT-11941_H2,2038,-0.0
Jiangsu-Coal_300_OT-11941,2038,Jiangsu-Coal_300_OT-11941_H2,2048,0.0
Jiangsu-Coal_300_OT-11941,2048,Jiangsu-Coal_300_OT-11941_CCS,2048,0.0
Jiangsu-Coal_300_OT-11941,2048,Jiangsu-Coal_300_OT-11941_H2,2048,-0.0
Jiangsu-Coal_300_OT-11959,2038,Jiangsu-Coal_300_OT-11959_CCS,2038,-0.0
