STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.12,88.41475321473173
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.16,64.14403664598191
Zhejiang-Hydro_Pumped-ep-35017,2040.12.19.20,48.10802748448643
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.00,172.5032873763824
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.04,0.0
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.08,103.2512
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.12,206.5024
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.16,309.7535999999999
Zhejiang-Hydro_Pumped-ep-35017,2050.06.12.20,241.1284436881912
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.00,32.07201832299096
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.04,16.03600916149548
Zhejiang-Hydro_Pumped-ep-35017,2050.12.12.08,0.0
