generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Jiangsu-Battery_Storage-11179,2050-12-12_16:00,Jiangsu,0,89926.2,190864
Jiangsu-Battery_Storage-11179,2050-12-12_20:00,Jiangsu,0,47715.9,0
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_00:00,Jiangsu,0,234.293,515.445
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_04:00,Jiangsu,142.475,234.293,0
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_08:00,Jiangsu,585.732,234.293,796.596
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_12:00,Jiangsu,585.732,234.293,1593.19
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_16:00,Jiangsu,585.732,234.293,2389.79
Jiangsu-Hydro_Pumped-ep-35005,2040-06-26_20:00,Jiangsu,0,234.293,1452.62
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_00:00,Jiangsu,0,54.7651,438.121
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_04:00,Jiangsu,0,54.7651,219.06
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_08:00,Jiangsu,0,54.7651,0
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_12:00,Jiangsu,888.082,355.233,1207.79
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_16:00,Jiangsu,0,82.8877,876.241
Jiangsu-Hydro_Pumped-ep-35005,2040-12-19_20:00,Jiangsu,0,54.7651,657.181
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_00:00,Jiangsu,0,234.293,2355.34
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_04:00,Jiangsu,0,588.835,0
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_08:00,Jiangsu,1036.69,414.675,1409.9
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_12:00,Jiangsu,1036.69,414.675,2819.79
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_16:00,Jiangsu,1036.69,414.675,4229.69
Jiangsu-Hydro_Pumped-ep-35005,2050-06-12_20:00,Jiangsu,0,234.293,3292.51
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_00:00,Jiangsu,0,54.7651,438.121
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_04:00,Jiangsu,0,54.7651,219.06
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_08:00,Jiangsu,0,54.7651,0
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_12:00,Jiangsu,888.082,355.233,1207.79
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_16:00,Jiangsu,0,82.8877,876.241
Jiangsu-Hydro_Pumped-ep-35005,2050-12-12_20:00,Jiangsu,0,54.7651,657.181
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_00:00,Jiangsu,0,21.4475,47.1846
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_04:00,Jiangsu,13.0424,21.4475,0
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_08:00,Jiangsu,53.6189,21.4475,72.9216
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_12:00,Jiangsu,53.6189,21.4475,145.843
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_16:00,Jiangsu,53.6189,21.4475,218.765
Jiangsu-Hydro_Pumped-ep-35022,2040-06-26_20:00,Jiangsu,0,21.4475,132.975
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_00:00,Jiangsu,0,5.01328,40.1062
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_04:00,Jiangsu,0,5.01328,20.0531
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_08:00,Jiangsu,0,5.01328,0
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_12:00,Jiangsu,81.2964,32.5186,110.563
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_16:00,Jiangsu,0,7.58767,80.2125
Jiangsu-Hydro_Pumped-ep-35022,2040-12-19_20:00,Jiangsu,0,5.01328,60.1594
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_00:00,Jiangsu,0,21.4475,215.612
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_04:00,Jiangsu,0,53.9029,0
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_08:00,Jiangsu,94.9,37.96,129.064
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_12:00,Jiangsu,94.9,37.96,258.128
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_16:00,Jiangsu,94.9,37.96,387.192
Jiangsu-Hydro_Pumped-ep-35022,2050-06-12_20:00,Jiangsu,0,21.4475,301.402
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_00:00,Jiangsu,0,5.01328,40.1062
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_04:00,Jiangsu,0,5.01328,20.0531
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_08:00,Jiangsu,0,5.01328,0
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_12:00,Jiangsu,81.2964,32.5186,110.563
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_16:00,Jiangsu,0,7.58767,80.2125
Jiangsu-Hydro_Pumped-ep-35022,2050-12-12_20:00,Jiangsu,0,5.01328,60.1594
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_00:00,Jiangsu,0,214.475,471.846
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_04:00,Jiangsu,130.424,214.475,0
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_08:00,Jiangsu,536.189,214.475,729.216
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_12:00,Jiangsu,536.189,214.475,1458.43
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_16:00,Jiangsu,536.189,214.475,2187.65
Jiangsu-Hydro_Pumped-ep-35028,2040-06-26_20:00,Jiangsu,0,214.475,1329.75
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_00:00,Jiangsu,0,50.1328,401.062
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_04:00,Jiangsu,0,50.1328,200.531
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_08:00,Jiangsu,0,50.1328,0
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_12:00,Jiangsu,812.964,325.186,1105.63
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_16:00,Jiangsu,0,75.8767,802.125
Jiangsu-Hydro_Pumped-ep-35028,2040-12-19_20:00,Jiangsu,0,50.1328,601.594
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_00:00,Jiangsu,0,214.475,857.902
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_04:00,Jiangsu,0,214.475,0
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_08:00,Jiangsu,949,379.6,1290.64
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_12:00,Jiangsu,949,379.6,2581.28
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_16:00,Jiangsu,949,379.6,3871.92
Jiangsu-Hydro_Pumped-ep-35028,2050-06-12_20:00,Jiangsu,0,539.029,1715.8
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_00:00,Jiangsu,0,50.1328,401.062
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_04:00,Jiangsu,0,50.1328,200.531
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_08:00,Jiangsu,0,50.1328,0
Jiangsu-Hydro_Pumped-ep-35028,2050-12-12_12:00,Jiangsu,812.964,325.186,1105.63
